Name	Currency
INPHI CORP	USD
MACOM TECHNOLOGY SOLUTIONS H	USD
RAMBUS INC	USD
SYNAPTICS INC	USD
AMKOR TECHNOLOGY INC	USD
XPERI CORP	USD
DIODES INC	USD
SUNPOWER CORP	USD
LATTICE SEMICONDUCTOR CORP	USD
VEECO INSTRUMENTS INC	USD
JPMORGAN CHASE & CO	USD
BANK OF AMERICA CORP	USD
WELLS FARGO & CO	USD
CITIGROUP INC	USD
US BANCORP	USD
PNC FINANCIAL SERVICES GROUP	USD
BB&T CORP	USD
SUNTRUST BANKS INC	USD
M & T BANK CORP	USD
FIFTH THIRD BANCORP	USD
KEYCORP	USD
CITIZENS FINANCIAL GROUP	USD
REGIONS FINANCIAL CORP	USD
HUNTINGTON BANCSHARES INC	USD
COMERICA INC	USD
FIRST REPUBLIC BANK/CA	USD
SVB FINANCIAL GROUP	USD
ZIONS BANCORPORATION	USD
EAST WEST BANCORP INC	USD
SIGNATURE BANK	USD
PACWEST BANCORP	USD
CIT GROUP INC	USD
PEOPLE'S UNITED FINANCIAL	USD
NEW YORK COMMUNITY BANCORP	USD
BANK OF THE OZARKS	USD
SYNOVUS FINANCIAL CORP	USD
COMMERCE BANCSHARES INC	USD
MGIC INVESTMENT CORP	USD
CULLEN/FROST BANKERS INC	USD
WESTERN ALLIANCE BANCORP	USD
WEBSTER FINANCIAL CORP	USD
PINNACLE FINANCIAL PARTNERS	USD
STERLING BANCORP/DE	USD
COMMUNITY TRUST BANCORP INC	USD
FNB CORP	USD
PROSPERITY BANCSHARES INC	USD
FIRST HORIZON NATIONAL CORP	USD
UMPQUA HOLDINGS CORP	USD
TEXAS CAPITAL BANCSHARES INC	USD
WINTRUST FINANCIAL CORP	USD
RADIAN GROUP INC	USD
HANCOCK HOLDING CO	USD
BANKUNITED INC	USD
INVESTORS BANCORP INC	USD
IBERIABANK CORP	USD
ASSOCIATED BANC-CORP	USD
UNION BANKSHARES CORP	USD
MB FINANCIAL INC	USD
CHEMICAL FINANCIAL CORP	USD
HOME BANCSHARES INC	USD
UMB FINANCIAL CORP	USD
ESSENT GROUP LTD	USD
UNITED BANKSHARES INC	USD
BANK OF HAWAII CORP	USD
TCF FINANCIAL CORP	USD
CATHAY GENERAL BANCORP	USD
FIRST FINL BANKSHARES INC	USD
COLUMBIA BANKING SYSTEM INC	USD
FULTON FINANCIAL CORP	USD
GLACIER BANCORP INC	USD
VALLEY NATIONAL BANCORP	USD
FIRST CITIZENS BCSHS  -CL A	USD
WASHINGTON FEDERAL INC	USD
OLD NATIONAL BANCORP	USD
COMMUNITY BANK SYSTEM INC	USD
BANCORPSOUTH BANK	USD
CVB FINANCIAL CORP	USD
SOUTH STATE CORP	USD
FIRST MIDWEST BANCORP INC/IL	USD
HOPE BANCORP INC	USD
TRUSTMARK CORP	USD
SIMMONS FIRST NATL CORP-CL A	USD
GREAT WESTERN BANCORP INC	USD
LENDINGTREE INC	USD
BOK FINANCIAL CORPORATION	USD
INTERNATIONAL BANCSHARES CRP	USD
AMERIS BANCORP	USD
N B T BANCORP INC	USD
